title,description,location,url,points
War,"Place your bets, let the chaos unfold",N/A,http://pixelsfighting.com/,1
Maff,"Maff is cool! We like maff, pretty",N/A,https://chaos-equations.glitch.me/?p=ZPFVNO,1
"Yeah,",Lemons,N/A,http://yeahlemons.com/,1
Save the planet,Pick up ya damn trash you hooligans. Good practice for when you're in public so you don't embarass yourself,N/A,http://www.trashloop.com/,1
Patience,"It is a virtue, and ALMOST always worth it",N/A,http://www.donothingfor2minutes.com/,1
Doggo,Who's a good boy???,N/A,http://dogs.are.the.most.moe/,1
Suspense,"Corner, corner, CORNER!!! awwwwwww.....",N/A,https://www.bouncingdvdlogo.com/,1
Adventure,And on and on and on and on and on and on,N/A,https://zoomquilt.org/,1
Self-care,Treat yoself,N/A,http://www.amialright.com/,1
Love,Dating tutorial,N/A,https://www.youtube.com/watch?v=1hoL93tEkrM,1
Isosclees,Two congurent sides? Completely unreal. Incredibly juicy.,N/A,https://www.youtube.com/watch?v=U9AyE49QbVo,1
Have Fun In Calc lol,Bookmark this video for second year. It will save your life.,N/A,https://www.youtube.com/watch?v=spUNpyF58BY,1
Literally The Coolest Thing We Have Ever Seen,No I'm serious this is so damn cool,N/A,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1
Aktividees!,Covid = blah. That doesn't mean first year is a write-off. Check out these juicy activities you and your friends can do this year!,N/A,https://thepurplearm.ca/things-to-do-in-your-first-year/,1
Look Both Ways Before Crossing,Animalogists regard Canadian geese as some of the most dangerous animals to walk the Earth. Make sure to check out this goose safety course before heading to campus.,N/A,https://thepurplearm.ca/mandatory-canada-goose-safety-training-courses/,1
Sophs <3,Honestly the Western Engineering Soph team might just be the sexiest lads and ladettes around. Check out this message from them.,N/A,https://thepurplearm.ca/your-2020-2021-engineering-soph-team/,1
The Hymn of Lady Godiva,There are many engineering chants you will learn during your stay at Western. This is a very special one.,N/A,https://en.wikipedia.org/wiki/Godiva%27s_Hymn,1
